150000 150000
2 91854 92942
1 62619 116601
1 78965 25432
2 65741 73200
1 92297 102958
2 96155 140596
1 44944 54564
2 373 91462
1 62359 85102
1 63617 50868
1 42445 69045
2 1291 97400
1 3459 31761
2 90769 114077
1 39642 51146
2 70047 64344
1 82665 78860
1 20521 79913
1 48541 9510
2 39078 5980
2 76032 7217
1 88674 105072
1 47426 135761
2 2538 62997
2 52225 97762
2 74410 55370
2 92212 133010
1 82390 773
2 94248 47676
1 28899 95416
2 80437 33326
1 66948 137078
1 26944 65668
1 52581 126441
1 89456 132744
1 1421 25292
1 13955 125883
1 3573 147713
1 66770 130494
2 16149 23011
1 55495 134178
1 23656 80860
1 84865 15429
2 63993 142237
1 20669 40690
2 16831 96568
1 47692 25642
1 35102 17244
2 77756 23364
1 72615 97338
2 85578 50861
2 20254 30646
1 43172 25343
1 76500 39983
1 89094 140931
2 26138 78349
1 10692 127755
1 97283 112604
1 22687 37072
1 89375 34533
2 87781 132921
1 5522 17176
2 12854 45670
2 79038 15128
1 1768 77909
2 86053 60349
2 2856 102021
2 21429 74382
2 85075 34609
1 67264 70662
1 97379 132408
1 7195 110928
1 88113 76087
1 42243 87418
1 62173 121713
2 45428 33795
2 90144 140211
1 91981 2576
1 99847 93321
1 47834 63609
1 29293 87363
1 12281 107924
2 11433 90079
1 81676 38474
1 13602 56676
1 48758 84334
1 20527 212
1 23645 48394
2 78728 122307
1 58703 39402
1 40584 3400
1 83908 91484
1 19344 104676
2 99295 36986
1 31254 112571
1 36995 116075
1 53876 120922
1 13464 72832
1 47721 10123
2 11743 137953
2 96451 146828
2 99512 41809
2 64046 100654
1 27491 89432
2 52450 98313
2 14671 58268
1 13645 41748
1 39993 81301
1 22390 98032
1 91448 111696
1 94328 143043
1 6831 107804
1 75303 116358
1 13914 1860
1 42247 89591
2 2921 149191
2 6727 108349
2 38244 101528
1 27528 47134
1 25489 3448
1 37144 88229
2 58826 130625
1 69402 97973
1 34688 26101
2 29460 123290
1 85767 80363
2 22179 107913
1 28943 12154
1 72847 124338
2 99512 38144
1 14975 72629
2 90087 75281
1 94783 34185
1 55033 140077
1 68608 25819
2 33098 19239
2 20517 91379
2 36744 1324
1 701 65578
1 53092 61312
2 70540 72581
1 47708 50052
1 75851 16436
1 47193 23794
1 62710 97833
2 45064 121877
2 93168 147538
1 564 13014
1 70238 75812
1 9880 45209
2 9469 2910
1 26097 6370
2 15233 123086
1 44464 54093
1 77731 110515
1 47024 116092
1 90302 81206
1 83333 24630
1 86470 91916
1 64447 5905
1 997 25943
2 50018 90631
2 89654 138975
2 78090 127499
2 62229 1731
1 31552 39398
1 50917 3421
2 84138 140904
1 2310 16210
2 66410 48279
2 14106 127632
2 32336 16783
2 38957 95951
1 50355 41785
1 17706 145304
1 19764 126053
1 26118 40327
1 50205 122805
1 22032 136619
1 31399 65990
1 49717 18231
2 31217 63102
2 37563 132432
1 97081 4694
1 12941 77050
1 24381 72058
1 20430 86943
1 14607 63934
2 59418 44148
1 5302 40295
2 43885 142528
1 43757 126108
1 29315 3877
2 33522 133730
1 25466 34438
1 34724 139707
1 51599 35286
1 69097 121001
1 60871 149038
2 84673 104393
1 40209 45313
1 89968 123784
2 6446 99521
1 42810 104015
1 53863 108424
2 92891 67034
1 37028 35595
2 62109 18979
1 89028 109341
2 36343 100494
2 71987 86142
2 36990 120896
1 46742 15377
1 16008 97554
1 32558 117168
1 73061 15103
1 21034 23972
1 83660 148372
1 56199 141076
1 13627 130503
2 8212 6896
2 2420 18603
2 28900 90337
1 78711 149223
2 28564 82426
2 99204 94108
1 98328 56357
1 72721 115532
2 4571 990
2 55247 67169
1 64501 53868
2 93482 102645
1 61267 113469
2 67384 83661
2 84806 59321
2 55261 90923
2 70500 84078
2 10128 41395
1 97635 138121
2 99279 8086
1 14843 36039
1 7920 48813
1 25957 65672
2 31095 28883
2 85326 133070
1 73915 112609
1 38273 102745
1 99122 36809
1 30116 124617
2 28283 87494
2 14170 55727
1 18765 90146
1 30520 147270
1 88638 8908
1 8854 149578
1 21560 129182
1 91972 75664
2 71315 146243
1 68122 67448
1 70860 26314
1 89058 40791
1 98286 115866
1 27801 84913
2 41921 143288
1 63798 4898
1 55133 95056
1 92239 93749
2 43767 112
1 25969 59932
1 26029 27120
2 64307 65997
2 36326 15276
2 63959 46336
2 85317 45118
2 82067 135524
1 64876 2857
2 79433 21067
1 51526 120599
1 52929 88841
1 16314 86464
2 17509 25668
2 12421 108925
2 71474 109995
1 77892 17884
1 78769 142835
1 12045 45049
2 80720 131129
1 67468 127405
1 45791 139939
1 43709 54945
1 21325 29532
2 67346 141987
2 5139 5725
1 88066 35969
1 49087 52250
2 674 126366
1 29161 46955
1 4378 36734
1 16723 127761
2 98209 118890
1 63194 116078
1 59470 128670
1 30177 112533
1 64254 54095
2 66053 134565
2 38066 78285
2 2535 12527
1 33113 98222
1 94355 81122
2 97732 72609
1 56313 108539
2 94331 22800
1 90299 35059
1 43109 15525
1 77949 145157
1 12410 24352
1 82124 99377
2 58111 40571
1 35485 138792
1 97647 1216
1 73330 116273
1 14397 64579
1 34429 21516
1 49054 115680
2 8249 109549
1 41128 64385
1 87348 145411
1 91945 121779
1 51477 118870
1 36685 76579
2 41759 123272
2 27994 64195
1 82314 112224
2 40432 56360
2 44601 99195
1 39475 72557
1 65744 123186
1 54483 129797
1 16238 27972
1 74556 44463
2 27415 116785
2 51249 21034
1 90966 10698
2 83984 143685
1 24465 71472
2 55065 73546
1 89926 134104
