160000 160000
2 41033 30977
2 1197 129585
2 26727 89112
1 48537 34441
1 15066 20129
1 20184 159917
1 67074 144817
1 86708 51512
1 29899 158474
1 13781 14418
2 81031 7464
1 101436 112515
1 17944 25887
1 83544 62789
2 77685 13379
2 16498 66500
2 4472 30788
1 95920 8889
1 35011 145212
1 82110 148618
1 12492 116396
1 18588 52271
1 27091 19403
2 73754 62954
1 10875 105817
1 65882 152685
1 17570 82517
2 58791 138575
1 58684 118293
2 46485 103149
1 88655 123195
1 42553 28104
1 94978 141400
1 87791 97624
1 1733 93683
1 14915 110404
1 95879 88239
1 100321 9367
1 97793 96641
2 30553 12583
1 51612 60212
1 27465 6114
2 23954 117608
1 98289 156092
2 106298 75244
1 9588 88844
1 1134 74435
1 64418 79861
1 78061 96325
1 29270 47432
1 9313 32435
1 3391 84577
1 84520 79259
1 101920 80525
1 15145 118600
1 100221 86349
1 48260 103213
2 11018 145001
1 255 53558
2 100799 62697
2 93800 29007
2 99933 150166
1 54734 126270
1 20790 66238
2 84644 25580
1 78441 17569
1 49777 87153
1 82259 27381
1 19730 96098
2 54097 141461
1 98786 31076
1 87828 127294
2 53533 27687
1 24805 48824
2 24116 151216
2 15677 149693
1 66786 39526
2 53025 144647
2 14123 155830
1 15578 66080
2 102974 65153
1 20770 128833
1 78812 91258
1 47553 99912
1 84269 6034
2 46559 54243
1 4021 141817
1 28308 23280
1 87408 52058
2 30962 55619
2 65121 13871
1 75715 100471
1 43388 17745
1 102753 107322
1 16116 7779
1 45087 107668
1 30163 102445
2 77278 12615
1 24979 36639
1 45510 54869
1 12324 73210
1 718 84986
1 52054 155854
2 63497 117262
1 35561 159871
2 100516 39626
2 14236 102064
2 102300 146363
1 47210 100566
1 64392 22710
1 26443 136181
1 27536 45437
1 8430 151929
2 92810 30709
1 97129 156576
2 53590 18739
1 31769 121147
2 71612 112939
1 55459 3830
1 22680 117290
1 26409 147448
1 18997 153941
1 59372 43808
1 60669 98126
1 14297 58507
2 72447 87064
1 1797 61971
1 75745 107049
1 47229 64984
1 102669 20090
2 25394 13077
2 30743 68900
1 54135 16696
1 77715 64559
1 12337 37448
1 7220 9503
2 84665 57747
1 23969 82439
2 18522 100686
1 100393 1270
2 13887 2867
2 92966 137927
1 61439 106218
1 97424 159837
1 1081 97642
1 31261 82033
1 7238 119429
1 53625 2962
1 24269 110261
2 39707 101882
2 105327 147902
1 84826 108144
1 89296 140232
1 5500 57534
1 57010 128185
1 72740 153077
2 16500 79986
2 21281 122768
2 32510 118299
1 85473 124722
1 13864 109380
1 61561 35895
1 99880 2475
2 24739 90927
1 85038 102224
2 86318 121061
1 99267 82623
1 61029 130337
2 78892 13670
2 82044 152137
1 2697 149025
2 86675 36142
1 54796 73113
2 103635 60448
1 98717 80143
1 81084 1712
1 33081 35392
1 102941 139114
1 78865 135925
1 57627 81721
1 52771 154730
1 67777 3903
1 81575 134525
2 104078 59704
1 47234 139787
2 22296 15479
1 32592 75524
2 33571 146822
2 106454 57387
1 75325 118106
1 31435 113043
1 85409 113560
1 63968 80027
1 14807 141463
1 53053 82400
1 37462 133200
2 30854 63127
1 9962 110239
1 52273 64434
1 95562 128017
1 22738 36734
1 72638 102423
2 77289 16221
1 19213 129195
2 62068 82313
1 72445 25680
2 78734 35126
2 41035 27352
1 68041 72161
1 84233 104889
1 48702 19627
1 61310 105832
1 77117 112423
1 48126 66034
1 28543 34199
1 1164 23338
1 102874 83942
2 54602 136726
1 42788 42794
2 26955 73009
1 39348 28426
2 7199 19814
1 3410 89894
1 95229 61693
1 74390 14693
1 27642 59732
1 29178 4195
1 32126 56203
1 69553 107579
1 62138 5233
1 88784 39349
2 21064 61011
1 60936 37605
2 33635 112566
2 90214 152431
1 66723 145641
2 91724 13438
2 92992 137659
1 42349 50165
2 36064 156112
1 44300 53947
2 34127 135834
1 93271 85427
2 36951 99714
1 52623 74472
1 71541 78524
1 27279 50398
2 47131 73411
1 21575 16776
1 92553 87767
2 50420 65433
1 83776 105661
1 66160 92859
1 68629 53509
1 77978 14341
1 20389 138094
1 62532 43045
2 37003 61628
1 87568 100328
1 77466 45860
2 56425 77477
1 69204 55272
1 29219 36792
1 45407 67700
1 87851 152796
2 97467 134357
2 76050 11448
1 85401 43292
1 39906 142575
1 8168 117966
2 65367 35279
2 27333 134864
2 55884 30383
2 102150 88753
1 79534 88842
1 48698 15511
1 54750 158008
2 73726 75863
2 84335 69238
1 18762 72953
2 32458 120824
2 11126 63907
1 20030 65518
2 14658 54572
1 36397 78324
2 25507 64626
1 36398 105849
2 21726 42320
1 35043 23388
1 104505 56435
1 47544 30268
1 76174 45032
1 95073 111957
2 66285 126824
1 53261 90295
2 68707 21945
1 85994 84951
1 69419 66055
2 48749 80012
1 53641 133608
1 66181 145102
1 20729 141071
2 16035 106839
2 94384 128800
1 41401 70946
2 91947 126857
1 8167 129374
2 30813 139413
1 43314 42354
2 24891 30998
1 68785 92209
1 74483 36634
2 105923 55203
1 67008 22723
1 98567 80614
2 36032 32537
1 2487 23825
1 101843 104368
2 50247 87620
1 7659 116932
2 76132 132601
2 91103 33473
1 16618 129782
1 81407 126316
1 9203 129667
2 105490 85281
1 103722 130688
2 76683 137184
1 61160 52685
1 90430 13805
1 10022 34480
2 43076 26893
1 59191 43268
1 82555 101244
1 75509 7237
1 81808 36218
1 86359 44420
2 25589 148681
1 29517 32143
1 48270 132893
1 52706 74923
1 13564 11654
2 89241 84619
1 49106 127615
1 10095 93727
2 66505 29553
2 106582 139012
1 49269 157166
1 67936 8006
2 19555 89726
2 82598 40611
2 68338 127917
1 62435 137291
1 91253 126717
1 36805 56703
1 60872 42796
1 27995 47597
1 96921 95325
1 30483 91966
1 20502 21827
1 65667 23348
1 32715 129125
1 41880 29510
1 49927 100043
2 61682 116688
1 33432 31138
1 6625 34290
2 5407 54023
2 12128 126909
1 36872 121568
2 106072 118127
1 52811 102303
2 89423 12097
2 5289 33457
1 4956 4270
1 26434 2907
2 75429 98039
1 26648 82151
1 67578 99367
1 63126 153611
1 53420 59599
1 69785 36754
1 34205 16728
1 101182 97493
2 6289 67047
1 106336 48827
1 87208 71179
2 49585 102961
1 83197 65111
1 58274 104919
2 50816 7338
2 78296 153285
1 24594 105655
1 17764 149414
2 57571 66528
2 10661 48626
1 96783 156617
2 58732 8152
2 1098 25614
2 79413 128779
1 43868 150859
1 8286 37907
2 86007 69814
2 37640 110776
1 44923 95524
2 27854 87040
1 93682 12350
1 54435 129442
2 10797 131537
1 55625 119322
1 47873 32940
1 16937 135344
1 36518 53387
1 50753 7049
1 77520 72718
2 34425 17940
1 93319 112534
1 49904 66339
1 58059 91550
1 63243 137100
2 60603 55231
1 445 49479
1 97546 158758
1 68221 141375
2 76775 24367
1 78885 81747
1 17477 124722
1 81686 153331
2 16600 18422
1 82272 27326
1 53709 137699
1 40798 16171
2 63278 133100
2 22300 135218
2 54218 15635
2 91290 119454
1 8590 19689
1 17481 21924
1 83011 969
2 64647 17078
2 65601 154770
1 11765 116803
2 5820 154752
1 83174 69653
1 69390 103045
1 84611 52804
2 104818 117076
2 66495 84040
1 69472 101407
2 28952 31775
2 73049 42730
1 103192 75203
1 87789 43127
2 62246 38793
1 93714 95182
2 42676 81333
2 39902 109011
1 1061 143151
1 86546 99802
1 5786 15965
1 76882 63825
1 19379 99041
1 46641 129644
2 44526 51085
2 2153 154897
1 99781 68007
1 97599 94245
1 11752 97410
1 1901 12025
1 67594 85917
1 71208 7294
1 45659 148713
1 30022 18874
2 20732 78209
1 79016 144055
2 5912 37545
1 16463 44050
2 2659 1643
2 34042 83710
1 69871 126504
2 81837 24142
1 42874 86639
1 13523 58438
2 51619 119873
1 85544 111826
1 82739 143452
1 29204 105623
1 27103 7118
1 54341 147678
1 50925 50940
1 43442 91375
2 76425 136392
2 64634 51904
2 39793 153273
2 6657 121632
1 2549 62684
1 46895 12230
2 20999 69877
1 27798 127548
1 46950 146206
1 82810 90854
1 34519 38267
1 69698 136169
1 93862 92667
1 70914 43211
2 100365 18509
1 58453 95066
1 69059 106435
