90000 90000
1 52117 89441
1 33865 37616
1 34769 54947
1 31791 403
1 34540 73585
2 19532 67935
1 46828 89591
1 38447 48645
2 17363 73294
1 19249 59715
1 42093 44178
2 26804 5039
2 14818 27044
1 23240 13793
1 56567 80547
2 1670 83929
1 29931 25579
1 44387 22595
2 7359 57886
1 29461 80425
1 42639 6270
2 55398 68593
2 36144 72289
1 17300 22436
1 22804 48243
1 23797 26000
1 26768 2953
2 18203 22032
1 50075 30751
2 2241 28267
1 13897 85166
1 30625 84146
2 9142 86227
2 39926 23545
1 38218 3205
1 12732 44395
1 29534 80280
1 23148 82741
1 51956 50883
1 3357 13386
1 53802 41155
2 7696 83246
1 48089 17812
1 33555 52432
1 15651 465
1 40566 16416
1 53606 13155
2 2756 48705
2 36604 34767
1 30118 50842
1 49034 37594
2 16939 31053
1 13478 44419
2 19944 85356
1 54648 16151
1 23097 89338
1 31977 22534
2 20181 15223
1 34095 79376
1 14291 20291
1 27735 25102
2 33443 18486
1 25858 74764
1 55885 74252
2 54658 81884
1 14581 3323
2 57946 62837
1 38889 1209
1 11765 16109
2 45029 59511
1 42111 43806
1 26936 66565
1 4711 53009
1 4664 68530
1 11358 63932
2 40755 16921
2 22451 85153
1 22852 33686
1 54124 65674
1 16253 31326
1 27021 59455
1 19208 63568
1 18866 65695
1 17759 6293
2 26423 79324
1 24048 35465
2 49930 78511
2 23816 4752
1 46361 13843
2 42796 52816
1 38253 57886
1 36073 72609
1 49335 34716
1 29044 8531
2 33752 48810
2 6418 43283
1 43396 40569
1 52322 23512
1 6700 11810
1 3156 71316
2 48123 48111
2 2421 65300
2 41658 77062
2 27515 36673
2 26933 58249
1 42212 40613
1 47208 50745
1 25518 45338
2 59102 89025
2 8111 85448
1 34453 45288
1 19117 72615
2 331 59213
1 9606 19629
1 1505 66945
1 29967 19344
1 26510 79570
2 33981 79604
1 31089 51620
2 9886 66834
1 7377 63162
1 3190 23011
2 29943 9781
2 44473 79182
2 35080 30058
2 1360 22411
2 11414 77358
2 40653 3033
2 16360 1133
2 2201 49782
1 13804 72987
1 32151 14478
2 51773 57938
2 22901 51697
1 56401 43302
1 49346 49058
1 3649 18151
2 10354 25543
2 8804 20168
1 53505 6674
1 33681 62568
2 34803 16175
1 18317 22336
1 40209 89520
1 21153 8852
2 54909 85035
2 51333 56765
1 58933 41270
2 19255 63739
2 50441 40466
1 4122 18668
2 13782 40300
2 47580 53633
2 22863 27977
1 19096 16711
1 52222 65842
2 47126 74442
1 54579 82891
1 54186 14529
1 17913 40679
1 29083 15184
2 47222 13469
1 13158 15191
1 30896 48049
1 11016 69035
1 48132 44575
1 50415 60508
2 20586 43000
1 8631 55009
2 27486 73084
2 54621 57711
1 1288 9513
1 31862 11741
1 23979 8474
1 30271 22786
1 49732 5577
1 17148 26918
2 49576 72298
1 35145 51138
1 39375 53663
2 33534 56040
1 41969 56693
1 48369 25285
1 51053 56313
2 26407 13470
2 46195 25522
2 15868 61992
1 34902 15495
1 37550 62689
1 7832 17832
1 43262 4004
1 20338 38450
1 48521 41323
2 45462 46265
1 27111 48044
1 21305 13319
1 19846 86811
1 28764 89388
1 32258 53375
2 11086 39935
2 39842 13643
2 610 49778
2 40287 85635
1 6143 87823
1 20410 56194
1 6196 36667
1 30168 16186
1 11011 6408
2 37959 63515
2 1315 32112
2 36537 17622
1 11095 24336
1 46319 12879
2 7793 2532
1 29666 54600
2 59165 75484
1 53661 79
2 36158 88201
2 10511 61150
2 54715 12101
1 37242 65368
1 25084 76706
2 3935 50104
2 20949 55747
1 20413 40662
1 32723 50330
2 10298 36997
1 37967 39265
1 1349 87195
1 30586 86611
1 46708 24809
1 58731 6645
2 48239 32821
1 11772 27698
1 3670 19059
1 1186 60483
1 27850 58368
1 58794 35415
1 23300 49915
1 49257 70955
1 35471 1989
2 17866 45021
2 38146 14046
2 48522 83705
1 22 49504
1 33700 53154
1 31768 7679
1 41541 26567
1 53387 63345
2 1549 74532
1 33822 20603
1 55434 83528
1 25671 86511
1 44346 74105
2 48601 84025
2 8477 22950
1 56099 51656
2 23403 5056
1 13131 7323
1 39503 8304
1 14543 65268
2 39258 79510
2 46834 8810
2 40988 77930
2 17673 32812
1 47110 25319
1 12591 80185
1 56301 4992
1 624 14164
2 9832 79726
1 2639 86693
2 6194 19454
1 34495 57016
1 17178 27275
1 49103 60649
1 51140 248
2 32639 59948
1 48167 44812
1 8001 62954
1 11038 67230
1 51837 83238
1 10523 84433
2 36467 76759
1 28192 20153
1 26978 64357
2 13583 17039
1 55416 70979
2 29159 30837
1 22504 74545
1 12889 44637
2 34055 79898
1 35443 40366
2 39474 35140
2 54263 19812
2 42535 33846
1 541 60559
2 5404 26892
2 35774 71531
1 14837 41618
1 57115 57288
2 54554 25045
1 30507 43287
1 12037 63824
2 20859 21562
2 39364 16415
1 23053 25666
1 1292 13926
1 55009 5980
1 45910 34700
2 24341 58685
2 51303 33972
2 27815 45558
1 33117 8824
2 43076 36254
2 38077 51298
1 31959 85348
2 28821 74920
1 2423 46006
1 15239 78532
1 43662 85127
1 17112 71378
2 12633 79275
2 51705 23847
1 25048 46345
1 4120 75342
2 10637 84271
2 11169 11847
2 48843 31194
2 37494 8033
1 13215 42569
1 10804 59073
1 586 70711
1 25554 88104
1 19759 48954
1 50705 36201
1 18015 24555
1 21770 10098
1 53249 30310
1 3654 79809
1 21533 56222
1 24519 41658
1 49579 58357
1 53559 17209
1 11225 41796
2 4346 15303
1 13348 57158
1 26021 36187
1 28652 58739
1 34734 35524
1 55022 68631
1 1651 28487
1 6255 10077
1 55166 54202
1 32295 78512
1 36653 46774
1 57049 32498
2 27535 49497
1 11802 16594
1 1002 14810
1 29153 12476
1 30080 81903
1 7045 10655
1 44921 8957
2 10516 9194
2 53766 7505
1 11823 29030
2 51360 55976
1 44507 16214
1 988 79037
1 42097 61311
1 57863 54124
1 49204 35724
1 40606 34042
1 17061 33650
1 32380 79317
1 11378 43984
1 34014 52005
1 50871 47371
1 14905 38930
1 41979 4415
2 57463 75687
1 49679 19201
1 52904 75006
2 20996 71082
1 18215 45410
1 58208 43060
1 35759 25986
1 39572 81007
2 26690 60710
1 35448 88176
1 42287 79348
2 52092 23150
1 54728 18209
1 7405 26152
1 59439 44210
1 20631 63317
1 14112 15215
2 59624 2282
1 37758 46011
2 22538 518
1 14406 17504
1 51929 34761
1 23005 35443
2 40706 27482
2 5543 35508
1 34143 89427
1 1764 67151
1 9453 13045
1 34325 5188
1 11769 43224
2 23044 25037
2 59967 16405
2 42174 79725
2 19606 66187
2 18578 59503
1 58412 45094
2 25822 47425
2 42430 67092
2 7052 21014
1 43684 74430
2 30492 3580
1 16196 24858
1 49276 74013
2 57975 85710
1 27898 67379
1 48817 30914
2 3618 84414
1 32045 63334
2 20526 14995
1 10293 84681
2 1559 37320
2 10633 84723
1 38549 32815
1 2677 88589
1 34452 51183
2 34754 70913
1 49038 68243
2 31028 50840
1 42905 39337
1 46727 4802
2 20396 53123
1 45127 884
1 55058 56909
1 57590 69281
