40000 40000
2 21541 7494
1 24474 19181
2 15420 21067
1 8146 19813
1 8396 30787
2 5640 2195
2 21708 15163
1 23842 7378
1 10964 4145
2 18379 12581
2 23616 37002
2 20588 5098
2 19922 38154
2 10990 35697
2 23635 28515
1 1826 13370
1 11468 35865
1 6429 6544
2 15524 2134
1 13903 3674
1 24561 15583
2 13188 4074
2 19712 8552
1 20385 14949
1 2565 37753
2 20947 31789
1 6926 8475
2 2215 10764
2 22748 22324
1 13602 28223
1 13370 3668
2 24455 33327
2 6187 5627
1 12012 21000
2 12393 10638
1 23672 14937
1 8834 14525
1 2409 33452
2 4748 14006
2 25375 26600
1 19811 2750
1 23410 39660
2 17224 35266
1 22172 30638
1 16241 24187
1 18528 31069
1 14671 17333
1 8463 24919
1 24473 14022
1 1160 18941
1 10792 25828
1 25695 34190
1 1471 3117
2 17034 16104
1 8040 39628
2 17923 11544
1 25141 38430
1 21842 27513
1 8068 16840
1 21254 9743
1 12234 23555
1 3383 39946
1 18435 14314
2 22486 9098
1 14141 483
2 5693 7214
2 16183 3542
1 21505 24162
1 16732 27832
1 20610 37673
1 1186 22278
2 5575 16492
2 15413 17334
2 972 29670
1 23170 34319
1 1460 9852
1 2688 27458
2 16467 24006
1 7876 18002
1 7693 21289
1 14119 38455
1 6484 27443
2 21086 12983
1 11198 10747
1 10820 7182
1 21455 1970
1 21636 2535
2 13733 28375
1 2011 35368
2 24486 35743
1 3506 4405
1 7895 7844
2 23189 19904
1 8076 23818
1 19166 13308
1 10352 32284
2 21518 32280
2 19250 39196
1 4067 12985
1 23860 7420
1 15212 30315
1 357 12567
2 26126 2490
1 8188 13154
2 1435 35924
1 7147 9109
2 24714 18116
1 15837 19031
2 122 39016
2 12490 22578
1 23994 29160
2 23360 37736
1 11378 35824
2 19006 36229
2 24703 37475
1 9591 18100
1 11298 13103
1 10092 10941
1 12094 2300
1 12235 38676
1 17578 21546
1 23492 32214
2 6828 25822
2 10865 1884
1 2773 30410
1 22739 17563
2 23588 1530
1 13741 16024
2 23857 10927
1 25511 26973
2 4734 11941
1 7136 22971
1 5077 10667
2 14918 5458
1 24736 21952
2 224 24496
1 13244 19588
1 4409 5780
2 16169 28921
1 3631 5360
1 10088 36431
2 25612 15764
2 13328 33409
2 5459 28364
1 21885 28197
1 15158 7220
1 673 20690
1 10939 315
1 5064 16982
1 6485 16059
2 19750 36659
1 21703 15220
1 11461 18351
2 17062 13655
2 18093 14896
1 23863 18036
1 24607 6204
1 3642 8926
1 6859 27635
1 9852 28535
2 18701 29070
1 6254 26047
1 2850 25836
2 313 6643
1 16233 11446
1 3594 29497
1 21430 17412
1 7983 4930
1 829 20308
1 5404 13020
2 15780 15331
1 5165 24188
1 22667 5821
2 17621 24289
1 10168 17674
1 13686 36358
1 20305 36206
1 7814 35774
2 6748 8314
1 8531 19472
1 5774 39581
1 22320 31930
1 12113 10343
1 25277 28936
1 19447 10404
2 11458 27247
1 26393 30560
1 5868 34735
1 16779 37549
2 3647 13308
1 15163 466
1 4507 23778
1 21588 6018
1 20804 31451
2 24310 30330
1 11150 16805
2 16818 10656
1 21864 1938
2 12039 9694
1 12230 9496
