100000 100000
1 44935 31723
2 43958 52671
1 61911 10739
1 37394 8946
2 56418 29714
2 27859 94719
1 45489 98333
1 46046 75627
2 11486 33443
2 53757 57255
1 15372 26035
1 60365 25433
1 55090 30150
1 2629 18961
1 20528 53843
1 8331 14584
1 46527 79022
2 58803 80892
1 20681 96598
1 39466 51396
1 25651 86847
1 52055 70168
1 7556 2759
2 8402 70557
1 47810 27765
1 30772 56663
1 8878 68102
1 17072 60730
1 60844 2501
1 1129 82390
1 40579 69983
2 45600 75536
1 57466 60654
2 66177 76546
1 14876 69376
2 9250 41736
2 30950 86994
1 4813 37227
1 12731 3289
1 58597 73844
2 47599 39996
2 6153 1065
1 2222 75768
2 56852 92448
1 36607 49179
1 43861 89609
1 23679 54755
1 8923 46104
1 6369 71977
2 51914 96052
2 41397 44186
1 34429 84787
1 15161 19067
1 29024 27050
1 44886 83611
1 64624 12063
1 23633 15117
2 58713 64297
1 54152 55185
1 32174 52302
1 27470 50791
1 46572 28225
1 48267 58204
2 31666 70389
1 54400 35903
2 8396 3674
1 53223 26365
2 8997 95055
1 34357 52390
1 22689 69843
1 54134 53590
2 41669 73894
1 43590 86830
1 21972 13063
1 28329 52756
1 64068 65126
1 40641 48481
1 13217 16248
1 30289 16935
1 41793 36096
2 16924 47529
2 46165 3251
1 56055 67885
1 3135 9501
1 13920 65913
1 30291 45860
2 45676 98928
1 26907 80465
1 15310 68740
2 31188 39777
1 14468 35639
1 43355 36545
1 3566 96115
1 32294 95004
2 3397 93046
1 14646 18453
1 64502 95685
1 34557 99155
2 47785 29878
1 52655 2595
1 48843 3445
1 25494 34057
1 5519 37119
2 53456 17953
1 58175 10654
2 32031 44435
2 42186 63795
2 46123 2581
1 24890 57806
1 47317 14940
1 56395 5222
1 21798 72897
2 55143 19911
2 61437 39167
1 14612 63465
1 60485 35264
1 57855 14091
1 42270 42848
1 4845 54719
2 20437 79081
2 25080 2680
1 13768 63172
1 24117 92469
1 33970 39377
1 31675 35217
1 16036 24738
2 10331 55515
2 2142 8817
1 38794 69423
2 42522 127
2 6934 76420
2 9835 61863
1 53867 50132
2 23984 18303
