10000 10000
1 1486 8336
1 6066 8924
1 715 5097
1 6586 1570
1 6306 4110
1 1801 5356
1 6359 2433
2 2675 5286
2 3308 650
1 5614 7535
1 4339 577
2 4761 3826
1 7 7290
1 2282 5956
2 1272 9504
1 2378 1723
2 704 3843
1 2828 6598
1 4417 1595
1 1484 3404
1 6492 4733
1 254 607
1 2923 2396
1 2829 1313
2 5149 9919
1 4952 7575
1 420 8343
2 4525 9111
2 5454 267
1 6359 4398
1 4258 4225
1 5114 1104
2 5647 7535
1 1968 9143
1 5793 6849
1 4462 9386
1 1491 6265
2 4584 8675
1 4681 2588
2 4787 3303
1 931 3849
2 4317 6503
1 2831 5617
1 4394 9520
2 6044 3656
2 5630 9913
2 4256 740
1 3886 9680
1 2695 1122
2 962 7384
2 2621 9693
1 2236 3415
2 452 7770
1 1217 7880
2 3499 3109
1 3821 8808
1 3388 6293
1 5085 4084
1 2290 2084
1 953 5926
1 2486 3152
1 3824 1937
1 5990 6153
1 3371 9661
1 2024 296
2 768 65
1 3019 5695
1 3845 9290
1 1724 2393
2 1365 5318
1 993 7063
1 3508 7705
2 4274 9777
1 5609 9897
1 3171 8536
1 5442 670
1 2742 1920
2 5069 7076
2 902 2684
2 1696 2181
1 4433 8861
1 3991 9288
1 3017 336
1 2859 8737
1 4081 2270
1 2002 3300
2 4998 6228
1 5486 4373
1 6052 146
2 1413 7904
1 6075 4318
1 828 4686
1 1533 9656
1 540 9424
1 6067 4538
1 4122 6524
1 5897 3764
1 289 9772
2 2858 3412
1 3948 3886
2 5715 2131
2 1279 352
1 1634 1530
2 1243 1404
1 3574 3180
1 269 4599
1 6379 6614
1 5018 908
1 6453 2786
1 2143 828
1 4354 8694
1 5094 123
1 1555 8355
2 37 6216
1 149 7618
1 4782 1495
1 5628 4720
1 852 8311
2 1177 2336
1 1199 7430
1 181 6185
2 5895 2271
1 1751 4348
1 5732 4806
1 5333 1903
2 802 5043
1 3901 4111
2 1262 124
2 6536 49
1 4958 3471
1 4974 6061
1 3976 1550
2 2168 7823
1 1785 4929
1 5097 4210
2 904 2432
2 1018 1138
1 5221 6711
1 2202 875
1 1826 7118
1 5845 7424
2 5006 8193
1 5502 4477
1 4387 7699
1 4782 7643
1 2893 7854
2 2117 6588
1 6454 8852
1 2634 9870
1 2273 9019
1 6100 6025
1 5394 4814
1 3195 538
1 5300 9030
1 6496 1598
1 1938 2058
1 127 2327
1 2576 7564
1 2937 878
2 210 2838
2 3321 8476
2 3249 2110
1 374 6939
1 5135 7811
1 1218 4966
1 6380 7130
2 4384 4256
1 3595 2880
2 3954 8292
1 5302 9222
1 3240 9957
2 409 6047
1 3207 1828
2 1559 4238
1 4549 1485
2 1788 3498
1 2529 1474
2 4117 7428
1 3328 413
1 4942 3188
2 843 5721
1 1019 1543
