120000 120000
1 52920 71604
1 9268 36147
1 41479 103455
2 64436 90038
1 37094 14744
1 35693 42718
2 9447 50058
1 39404 64941
1 78702 20137
1 67146 119177
1 51364 80873
1 10910 19630
1 23285 116672
1 29402 68135
1 48504 67039
1 51272 88430
1 22565 62632
1 21264 8262
1 76899 114771
2 23982 103170
1 61599 37922
1 29836 36835
1 35249 47702
2 6251 56024
2 18311 102912
1 59388 61965
1 50579 5578
1 56106 74525
1 36532 16833
1 1572 96911
1 66271 28572
2 23674 33702
2 45946 13696
1 49158 14785
1 77166 18318
1 69063 100725
2 73118 6724
2 25892 88338
2 43801 11967
1 61933 23977
1 15070 24129
2 63208 89603
1 25688 65212
1 15983 71251
1 5155 22627
1 23981 69107
1 40448 16641
2 77 37304
2 57677 69757
1 21471 7873
1 49055 89361
2 40188 15526
2 55457 74670
2 10565 100292
1 59902 89680
2 9975 22018
1 33753 8897
1 52712 27498
1 41404 17073
2 77051 23527
2 69199 67466
1 38932 55
2 14090 87649
2 36696 20154
1 49744 79404
1 23044 108395
1 2703 10316
1 36842 57420
1 11265 70902
2 62371 12781
1 74593 14422
1 13103 58819
2 35833 43854
1 75637 9492
1 52133 54392
2 67963 19260
2 36963 18268
1 12700 34980
2 45132 49986
1 20303 4718
2 10838 72577
2 1023 113907
1 24180 38470
2 77264 78934
1 4796 48216
2 22669 101413
1 48480 97395
2 13147 75416
1 99 54833
2 8616 95234
1 33947 73072
1 62782 81252
1 44331 26652
1 55078 72474
1 56119 107592
1 73609 40904
1 10196 80135
1 44153 38514
1 56358 115940
1 75403 83070
1 57323 844
1 77302 56182
1 14138 81003
1 15841 70926
2 62937 50907
1 45755 5617
2 6215 99190
1 14256 118085
2 66321 24522
2 36403 97987
1 67033 7661
2 14843 36093
1 50013 105281
1 42044 11702
1 17436 27361
2 73112 1140
1 70091 15300
2 18672 110185
1 28624 14634
2 73028 10621
2 48705 66304
2 28040 108935
1 14958 66248
1 27359 81338
1 14754 42974
1 5861 35374
1 48483 103371
2 26682 76989
2 29347 78767
1 31153 113200
1 63214 96022
1 24340 112526
2 64184 50110
1 61867 62889
1 23457 53570
1 7468 73088
2 23068 61878
2 3080 103735
1 75897 59912
2 74105 24930
1 59401 8584
1 50685 60100
1 41507 110965
1 47740 109794
1 36220 40853
2 67042 85271
2 40788 25877
1 54974 38210
2 71980 106464
2 50297 12912
2 26444 112165
2 72542 19334
1 66959 75240
1 61013 10917
2 29424 103583
2 21578 39382
1 15761 97846
2 67422 9219
1 17929 73277
1 38167 77666
1 34394 54844
1 67705 78079
2 16037 81485
1 54771 102067
1 53315 61135
1 29644 52467
1 28305 2608
1 43071 83265
1 71133 29433
1 50600 63378
1 14329 111287
1 65217 62788
1 44198 117299
1 73864 51904
1 50981 18148
1 61823 82096
2 74321 94438
2 63806 67439
1 60760 75885
1 52656 45532
2 11064 110251
2 76597 64827
1 37711 73932
2 71252 39528
1 51177 55290
1 75866 58066
2 18012 51922
1 79211 119909
1 74323 48161
2 52893 12857
2 48293 9674
2 63819 29244
1 76564 119848
1 2715 39167
1 65414 19824
2 60691 112354
1 71912 14606
2 73958 31033
1 37382 92120
1 51268 92461
2 40760 106068
2 2661 16844
1 79233 24325
2 23286 95762
2 50372 48537
2 40542 68892
1 42587 48014
1 5680 8453
1 73591 49490
1 76443 29458
1 50788 61858
1 34393 33511
2 56142 36728
1 56752 66130
2 75990 84761
1 1235 11935
1 30316 100271
1 28387 113678
1 48239 36444
2 8751 32161
2 58693 56702
1 27437 25011
1 26548 118781
2 73475 56950
1 78061 82432
2 76774 109128
1 53452 104943
1 49375 24584
1 7685 4519
1 6277 67803
2 59389 29354
1 13031 84278
2 38345 47768
2 38797 2878
1 11342 38785
1 72195 9664
1 14913 101668
2 48140 10498
1 76354 33742
1 46649 99333
2 38282 64550
1 9797 817
1 40116 44211
1 65444 23228
1 62792 46079
1 47734 107174
1 17628 36070
1 20742 85444
2 43955 10241
1 77756 31511
1 26598 37766
1 23168 68932
1 4675 24938
1 8987 106852
2 66738 39858
2 40938 35979
1 70657 21575
1 47267 41851
1 49588 73500
2 65477 78932
1 12148 8648
1 48437 80361
1 22386 118293
2 72789 117453
2 2476 81273
1 64747 64570
2 19357 38
1 72532 8375
2 20855 80401
2 69150 101143
1 23893 115139
1 58697 70876
1 37030 115965
1 36361 30313
1 2692 53684
2 60287 119556
2 51331 47712
1 12051 111279
1 54622 100525
1 16409 104928
1 3930 8453
2 64306 75057
1 29947 103588
2 58827 35966
2 56744 78776
2 74612 61279
2 73497 62695
2 10796 86030
1 78701 111796
1 1568 44413
1 59003 50887
2 74032 97339
1 52369 44076
2 22401 70894
2 26463 10828
1 69049 78531
2 72190 49753
1 16715 103436
2 22184 64956
2 40917 17327
1 14403 93623
2 63391 3682
2 44944 1025
1 61706 28312
1 29416 115547
1 16561 110328
1 33424 1687
1 41173 70009
1 55131 60596
1 30354 52579
1 49750 78841
2 54074 105757
1 24829 47095
1 26768 117143
2 45035 7890
1 27133 75942
1 78545 45655
1 54337 58953
1 5224 57273
2 27383 73479
1 13771 103821
2 54440 39629
1 13147 90026
2 75403 8536
2 34874 108101
1 51958 49569
1 2370 108436
2 66368 9589
1 36954 54201
2 43642 79845
2 68652 96899
1 12913 48401
1 7936 4323
1 43420 49406
1 56304 93736
1 15656 100098
1 47850 5620
2 52364 105596
2 22803 109466
1 55697 109369
1 77355 25737
1 13184 40324
1 74179 105001
1 18 36530
1 27064 91283
1 10402 52528
1 72818 15660
2 6016 15073
2 63770 28789
2 16145 59022
1 47768 118081
2 46068 8104
2 35641 31302
1 53383 84398
2 1937 59934
1 77380 38899
1 17993 34301
2 1952 59452
1 8855 84200
1 15894 8718
1 2907 61055
1 61891 100654
1 68965 106627
2 534 75089
1 52363 111320
1 38177 36375
2 43888 69138
2 35280 34437
1 69322 93247
1 54371 36162
1 55115 68122
1 33441 69103
2 21712 53044
1 79465 96225
1 31 25216
2 25424 8039
2 12583 83299
1 12853 70721
2 33612 15296
2 33346 36988
2 70878 4864
2 76527 11360
1 4135 65745
1 70354 46861
2 15697 60410
2 66441 1736
2 2649 47983
2 30022 35227
1 65562 39646
1 44043 30645
2 1497 54839
2 53606 28792
1 24351 78258
1 60658 89079
1 5518 48002
1 55087 105972
1 76992 75432
1 31418 68497
2 14605 6055
1 25134 976
1 2467 8847
1 20356 5380
2 21362 15213
1 21744 88331
1 29861 21946
2 63193 6116
2 71782 91621
1 55710 76194
2 34919 44648
2 42644 14650
2 22452 72817
2 58413 21824
1 63738 82619
1 13158 9680
2 5649 9169
1 16698 116544
1 70321 71435
2 77947 92287
1 54127 87277
1 75901 2145
1 28939 8984
2 47171 106474
2 29316 94519
2 72668 77867
2 78785 93274
1 48852 7490
2 51813 48132
1 24616 106331
1 51706 114663
1 45811 9694
1 27714 62133
1 40557 34533
2 62609 85852
1 54586 99547
2 28614 111681
1 47722 47947
2 43655 8986
1 35931 96641
1 38164 35523
2 30376 5971
2 20115 87293
1 60939 72543
