60000 60000
2 33140 54552
1 35537 57344
1 2262 16010
1 15207 52357
2 36256 770
2 14223 26402
1 28875 46167
1 18730 37349
1 285 10614
1 19015 2334
1 8861 5890
1 4160 12584
2 26141 33251
2 1403 33868
1 29417 22024
1 4883 35727
1 27975 6206
1 12288 18122
1 3399 15796
1 23357 48225
2 24744 40897
2 8325 41106
1 12102 43082
1 21156 7706
1 8708 23734
1 12666 56880
1 1612 51426
2 1322 34827
1 5243 31464
2 34451 24384
1 13524 51149
1 13833 15914
1 23457 19529
1 28532 35122
1 24205 4824
2 22150 18625
1 28711 6925
1 3119 17776
1 6165 14775
1 13636 36683
2 17192 46555
1 34993 21854
2 12568 53674
1 7040 57893
2 32089 56438
1 24132 4258
2 11728 14668
1 21349 33164
2 34840 40049
1 21237 25933
1 25313 55886
1 37053 18056
2 12568 14070
2 20766 24245
1 537 17261
1 2640 54605
1 28206 47506
2 31559 36825
1 28810 35907
2 12945 13834
2 12291 13053
1 35438 38825
2 10252 26184
2 23418 4166
1 28446 50154
1 29294 46124
1 21082 50246
1 31425 59136
1 30357 26074
1 8004 15040
1 977 6226
1 20716 27934
1 4377 43096
1 9589 25986
2 4616 1306
1 37384 19856
1 28707 33431
1 20692 42403
2 13527 6985
1 7296 28411
1 31495 50516
1 28840 55651
1 11760 10126
2 23248 6199
1 13019 1606
2 27058 49347
1 16348 37247
1 14176 27335
1 13708 51191
1 29077 54852
2 6939 17419
2 18165 43515
2 17158 47587
2 19542 12913
1 3618 28752
1 2506 1343
1 28166 45819
1 15628 51817
1 7289 22528
1 12358 30627
2 20038 8333
1 19290 26
1 35961 20770
2 8335 5297
1 7116 59185
1 13727 38313
1 35625 39450
2 38020 54525
1 27927 29562
2 29624 20147
1 4987 3503
1 14800 54846
1 26287 37182
1 3299 47191
1 19118 45408
1 16546 2606
2 28880 33502
1 38669 28959
2 39370 17010
1 8193 24525
1 33595 57209
1 9454 4399
1 23098 47011
1 9091 36451
1 17953 51338
2 11225 22963
1 4754 22323
1 20262 7455
1 37237 55094
2 29528 41231
1 30054 18148
1 256 6863
2 12949 29966
2 21436 31850
1 27660 26613
1 6937 35225
2 9117 21305
1 3516 40630
1 37047 17372
1 35872 20433
2 29392 58300
1 37115 35095
1 25591 10596
2 12738 48450
1 18796 50819
1 2228 34185
1 29657 4621
1 27039 34327
2 3281 36005
1 10874 35267
2 23647 19287
2 29278 48147
2 29909 39942
2 26401 36473
1 1829 4444
1 12136 58142
2 12080 44495
2 3521 32639
1 14041 7200
2 19706 20157
1 10759 3296
1 27297 55541
2 37469 32685
1 37531 40642
1 26655 54115
2 19960 8898
2 37252 16980
2 53 55816
2 19240 43439
2 20566 22179
1 34669 14586
2 9224 10482
1 3755 6446
2 14955 16285
1 16200 11127
2 36418 14459
1 25818 1548
1 20711 37903
1 27435 22804
1 35123 46785
1 7739 53203
1 14406 36044
1 8920 35235
2 30820 12385
2 36280 2485
1 5495 6235
1 39703 29792
2 25871 14294
1 38350 15636
1 12059 54201
1 34290 32586
1 22449 21170
2 1944 56678
1 17456 926
1 17498 31348
1 1155 27457
2 8384 34136
2 31512 37180
1 25565 12644
2 23760 25747
1 25289 33509
1 12028 13034
1 19657 1730
1 9704 8712
1 8964 23439
1 27666 11617
1 10600 15948
1 30267 3133
1 597 7397
1 34630 46467
1 4961 47568
2 5257 48795
1 7721 3048
2 30206 45604
1 25457 32825
1 14718 48994
1 24831 14223
2 13758 57968
2 20875 9028
2 15139 28743
1 1176 8828
1 3698 39013
1 19802 25710
2 13943 34120
2 453 32191
1 39379 25179
1 37080 45755
1 21924 52567
1 3539 19904
1 11305 46064
1 3091 48095
2 16661 33539
2 18589 1944
1 30391 37646
1 18693 19516
2 7724 36460
2 28790 43965
1 19965 22590
2 35798 17697
2 1882 43894
1 5754 52221
2 10015 7949
1 35639 16951
2 38863 43897
2 35000 43224
1 32363 44700
1 39332 30029
1 36121 50604
2 29446 41152
