80000 80000
2 29192 69658
1 53229 38811
2 49559 66333
2 35749 70706
2 12294 57221
2 41281 37142
2 49813 21296
1 12825 7526
2 28628 44168
1 26087 47194
1 27353 27716
1 32170 71409
1 45639 61980
1 39884 60994
1 24260 61384
1 29030 40710
1 40719 19556
1 15275 18724
1 41577 10481
1 12618 76264
2 4708 10152
1 51956 42853
1 46473 12140
1 13341 69717
1 18104 31403
2 33167 73344
1 33126 1726
1 40064 14496
1 40320 71470
1 25372 31047
1 24972 50805
1 32659 47965
1 6567 56014
1 3907 68478
1 52357 14518
1 4694 35392
1 45447 2399
1 12075 58338
1 9855 46438
1 25566 11029
2 32626 341
2 31699 61136
2 44620 7802
1 7424 3512
2 29678 11311
2 28416 31691
1 24778 13546
1 49036 60282
1 638 7889
2 33980 53186
2 18953 17410
1 47367 57321
1 26306 313
1 2200 30889
2 51403 75842
1 49562 16156
2 43677 68498
1 52473 47056
1 14731 14165
1 27967 40633
1 25086 53774
1 1160 5011
1 38861 2986
1 5083 12597
1 12764 43606
2 13118 49640
1 43062 23290
1 42318 3114
1 20384 7111
1 32148 15324
2 47579 13995
2 41107 43526
1 13286 44871
2 26553 8281
1 22489 64187
2 46960 78222
2 14167 7713
1 22107 77099
2 18917 14408
1 37133 37623
1 32790 52944
2 26764 5464
2 7558 69091
1 42237 39652
1 24949 55433
1 19653 10284
1 30420 31074
2 19731 24541
1 26143 31708
1 789 39709
1 45723 2707
2 5507 74562
2 34393 55336
1 13828 70184
2 19589 1828
2 47949 8047
1 36926 41754
2 33547 5739
1 23377 19391
1 46078 42362
1 23264 70267
2 19616 48300
1 5689 36638
2 36266 2343
1 2753 35884
1 17691 78028
1 6275 76094
1 3638 68110
2 9122 22842
2 1456 14724
1 50981 53681
1 38047 22453
2 23924 19582
1 2861 54034
1 29846 769
2 52394 35708
1 42497 70587
2 52179 12771
2 42486 55281
1 11394 72434
1 23926 68706
1 11085 1554
1 8298 42195
1 39895 33164
1 51287 34346
2 45176 68289
1 6720 38865
2 36961 58515
1 51591 52205
2 174 75354
1 42550 46803
1 24026 30092
2 8875 64189
2 28939 6087
2 3817 9129
2 26025 39926
1 42738 12031
1 39883 59617
1 37327 55930
1 46824 25670
1 33507 56882
1 41411 33853
2 50482 77175
1 13476 19457
2 7303 76224
1 39285 60915
1 47216 70736
2 24351 2782
1 28514 31900
1 50243 29981
1 42607 27966
2 42297 48779
1 48337 75503
2 18699 33592
1 9297 26295
2 27480 40592
1 18422 57085
1 7865 22309
1 20426 78827
2 37771 71292
1 46248 11499
1 30379 56685
2 6310 59369
2 24389 28160
1 26485 60346
1 6862 41877
1 38763 18365
1 39462 57452
1 48938 27545
2 52327 55092
2 17843 20636
1 31675 6883
1 14071 35544
1 51900 47420
1 32452 47725
1 29894 71346
1 45144 64779
1 41105 38150
2 32161 53348
2 41615 47688
2 31792 36921
2 46311 25492
2 10345 60544
1 47994 37886
2 15145 37929
1 46804 59981
1 19123 48070
2 37694 911
2 51461 26478
1 37982 75381
2 19715 51463
1 10747 18518
1 44488 65264
2 20213 49463
2 36716 41530
2 31787 37954
1 4227 39201
2 43140 18063
1 51151 73239
1 259 70477
2 48905 18314
2 35395 32699
1 9746 77547
1 48262 70336
1 1788 25995
2 22332 9099
1 18034 2824
1 42768 42107
1 46323 72087
2 12253 33271
2 1631 69760
2 40647 44579
2 44732 23556
1 39406 71883
2 7138 13724
1 8399 26424
1 7898 67593
2 20911 73549
1 49752 75502
2 17812 69653
2 49788 1349
1 16607 53222
1 33898 78287
2 10445 7776
1 10748 79200
2 242 70848
1 34217 2993
2 30773 73601
1 48615 2574
1 27385 27770
1 49905 9591
2 41766 5202
2 46002 34147
1 17373 66353
2 17605 49652
2 52482 8354
1 26688 8095
1 8002 78452
1 16058 59009
1 37825 69262
1 11984 6819
1 18841 67832
2 50938 58208
1 21806 35847
1 10540 79656
1 4057 22826
1 33763 76369
2 48558 29619
1 12331 40199
1 13054 7787
1 44397 46557
1 49891 6140
1 14583 37619
1 43609 9511
1 52085 59016
1 28521 34688
1 24652 52463
2 14195 35180
1 26580 51018
1 1335 20735
1 34619 19539
2 34010 18090
1 23188 53757
1 34649 54214
2 15438 18975
1 46607 20733
2 49602 32162
1 38154 17810
1 14338 9835
1 36466 78909
2 42230 38357
2 2059 49047
1 21750 12685
1 23036 5338
2 26221 53712
2 13278 59829
1 15286 5419
2 7070 33231
2 51248 67715
2 48973 46671
1 31877 75532
1 15011 14572
2 4925 62242
1 24494 29926
2 26887 4484
1 37743 23306
1 12594 31792
1 12680 25460
1 47580 28772
1 14523 22293
