130000 130000
1 6367 111707
1 6378 65804
2 41630 101810
1 12647 100453
1 23818 85547
1 27761 64933
1 81827 38168
1 28656 114389
1 77105 120766
1 20585 50411
1 61633 55401
2 6086 119162
1 85816 112313
1 52889 15816
1 33154 91713
1 58808 86650
1 45390 13012
2 1494 11271
2 56839 77970
1 31058 54000
1 28836 120679
1 69349 7835
2 32689 126373
1 10239 128175
1 82725 114459
1 34091 1702
1 6011 124440
2 86026 20836
2 32812 121143
2 7519 98812
1 12487 54096
2 58574 86877
2 10020 126874
2 84314 18630
1 23206 114266
1 55400 88353
2 16221 85905
1 46145 30269
1 42673 26162
2 55668 11233
2 39427 88113
1 78266 19085
2 1069 80074
1 80447 88279
2 21850 120551
1 41498 67623
1 59599 15265
1 4855 11767
1 59015 17195
2 871 73148
2 34806 113144
1 22571 122927
1 22549 85858
1 47299 43693
1 39214 1024
1 77995 15091
1 26546 64484
1 60793 74997
2 30469 57983
1 8806 10593
2 64219 33160
2 73027 94198
2 84851 70055
1 60710 129953
1 77529 89829
1 35579 115579
2 73252 5210
2 52638 121530
1 52323 43668
1 65529 62794
1 911 112057
1 59026 49353
1 10311 129778
2 3787 105945
2 2003 81105
1 20947 105586
2 76569 23777
1 83603 84150
1 15860 85465
1 24565 25163
1 21429 16654
2 18454 18467
1 25603 115919
1 2108 70196
1 85408 85812
2 55730 7859
2 9286 121430
1 42050 44256
1 26846 96179
1 36588 64111
1 41085 41367
1 84481 17708
1 85605 46011
1 12985 29604
2 72056 103583
1 48313 91957
2 55950 96987
2 25551 75801
1 62135 43912
1 36251 84679
2 8113 123249
2 65733 69466
1 11801 78635
2 49598 101846
1 69853 44940
1 35783 73853
2 5398 126220
1 62890 128302
1 43847 36338
2 11955 45902
1 31449 106575
1 7224 65251
2 18731 127328
1 66529 68044
1 5480 97848
2 67295 124500
1 59416 62728
1 7062 76405
1 62605 121742
1 21234 5067
2 60078 91094
2 65286 29711
1 7344 105909
1 83254 8051
1 63130 62672
2 42166 66065
1 71736 74031
1 34103 25330
2 28198 82868
2 64248 99961
