30000 30000
1 459 20682
1 14186 19393
2 2567 8413
2 4147 1837
1 14460 26619
2 17516 14719
2 3545 24588
1 1689 20162
1 3042 18073
1 11336 9972
1 13273 18651
2 3623 8996
2 5413 3940
1 15780 662
1 6217 29184
1 18756 10251
1 13289 8139
1 5079 14752
2 19132 19159
1 17242 7623
1 18206 20463
2 9458 3622
2 19889 10276
2 18441 5215
2 3693 3539
1 14722 28606
2 18936 25191
1 19039 11614
2 10664 16682
1 13114 13350
1 1095 18653
2 8940 19504
1 18165 13445
1 9814 26794
1 8832 1479
1 5337 6896
1 19838 5591
1 18338 69
1 1771 7427
1 4832 10579
1 5216 7974
2 13250 21356
1 6930 28818
2 5790 10224
1 13526 17762
1 8467 1456
2 16006 2800
2 8172 21263
2 7306 2578
2 1431 12698
2 10101 723
1 11957 29161
2 8896 6128
2 17207 19500
1 13773 21936
1 4202 14873
1 17030 17631
1 8553 8270
2 18457 13889
2 6040 13966
2 7235 15291
1 6201 23271
1 6269 28548
1 19363 18528
1 12355 19743
1 2797 23731
1 17721 4781
1 5747 22593
1 10629 26055
1 1289 23534
1 15743 4742
2 14740 28169
1 12714 11987
1 7353 1707
1 19802 22955
1 6404 28758
1 18723 3189
2 4182 17983
1 18277 185
1 9741 12518
1 8477 28347
1 5992 549
2 14060 12021
1 17658 23443
1 5075 26311
2 19410 59
1 10761 28918
1 7566 20986
2 6712 25183
1 18324 27
1 11910 19268
1 17111 28152
1 5096 19034
1 12146 1319
1 435 29029
1 11049 13034
1 14387 27526
2 8059 2455
2 7341 17437
2 10990 18039
1 3853 9293
2 12396 26150
1 9619 11198
2 4963 14105
1 18236 22314
1 699 26348
2 10284 3687
1 14182 348
2 5318 26420
1 17368 18979
1 10337 29021
1 13491 4847
1 15903 22917
2 5942 25993
1 987 5276
1 16726 2717
2 15509 5334
1 2224 26990
1 18115 6699
2 18242 17619
2 5472 20028
1 17007 23495
2 17660 15431
2 7079 2925
1 6002 7192
1 18864 27483
1 16837 8279
1 19050 14751
2 7870 23111
2 16715 9722
1 17272 28289
1 8534 29411
1 4656 27928
1 14295 16356
1 18113 7675
1 7896 282
1 9265 24699
2 19282 8903
2 8836 28304
2 1296 29347
1 189 2047
1 15013 23922
1 4888 8509
1 16074 26395
1 1836 5473
1 15052 5674
1 12065 6852
1 7796 27143
2 10113 7404
2 16668 16891
1 10741 10059
2 14514 22327
1 16730 22729
1 12005 15616
2 12054 26423
1 16789 3730
2 14332 10295
1 13184 29119
2 3375 17576
2 8114 12711
2 10755 8024
1 4906 9652
1 5878 23037
2 2294 12294
2 75 14911
1 5847 20421
1 1414 3697
1 3326 7900
2 7686 947
1 4587 28201
2 11519 16184
2 15309 12844
1 2531 21718
1 19017 1178
1 7652 22161
1 4382 27804
1 12895 5922
1 6359 5544
1 2264 7914
2 17889 22816
1 2291 21232
2 13986 1807
2 13500 24913
1 6858 15187
2 6753 17219
1 7780 14641
1 14032 3843
1 2860 6985
2 10340 16620
2 1196 28346
1 11533 430
2 6381 3232
2 9404 14161
2 7493 797
2 2724 12160
2 8666 24198
1 7195 27596
1 1495 1589
2 19294 22415
1 8899 25584
1 791 13557
2 1234 18060
1 9400 10179
1 4201 23681
2 7156 12068
1 5617 23524
2 13090 17096
1 18395 15682
2 5333 10085
1 2179 23383
2 16188 13272
2 6824 17558
1 2055 7552
1 6318 15693
1 9780 20147
2 10550 24762
1 13394 27297
1 4886 4466
1 11303 16335
2 6233 707
