20000 20000
1 7906 11783
1 506 15362
1 4977 9637
2 11794 10550
2 7905 14974
2 5648 18311
1 11583 13566
2 8108 12286
1 6911 17520
2 11610 9644
2 6268 7787
1 4474 743
1 8581 15308
1 3560 9011
2 8148 13711
1 7094 2172
1 2930 13821
2 3170 6076
2 12652 9832
1 12796 644
1 2170 16853
1 5101 10172
2 2869 10687
1 8923 10662
2 4937 5405
2 8177 4179
2 8922 2026
2 11321 8300
1 4843 15647
2 3692 12779
2 4568 5451
2 387 4228
1 6061 16960
2 6872 2067
1 9693 18885
1 971 971
1 858 18138
1 8711 18976
1 4124 11267
2 3813 9414
1 10796 11829
1 1230 18269
1 10825 11610
2 11818 2317
2 10949 8025
1 9577 6693
1 10781 13621
2 5330 14526
2 11927 17710
1 5282 12691
1 7206 8449
2 12837 4723
2 5136 17996
1 3553 15586
1 1550 3126
2 68 698
1 1534 18758
2 1525 4494
2 11629 9205
1 81 14350
1 2931 4743
1 891 7661
2 5416 5110
1 2251 8407
1 6266 4191
1 5865 2495
1 11876 19046
2 12246 11849
2 9059 10451
2 10290 15610
1 4481 13138
2 6876 15961
1 7805 2106
1 2857 6145
1 689 2665
2 7874 2289
2 4665 14413
1 401 16702
1 3460 694
1 11730 3371
2 1542 17427
1 1166 559
1 12046 13901
1 12736 12050
1 6604 19341
1 4102 1697
1 2816 4638
1 6405 10183
1 954 14841
1 11016 10042
1 11264 12337
1 7138 8139
2 4225 14240
1 11031 3458
1 7385 10685
1 7843 2995
1 6991 5175
1 8520 13398
1 1011 15780
1 5049 12896
1 10901 18634
1 5281 9319
2 13192 3647
1 12422 14557
2 573 3866
1 1293 2637
2 9499 2494
1 852 15375
2 7376 12888
1 1216 7534
2 5186 6724
1 5867 8012
2 12308 2350
2 1236 3336
1 9963 18585
2 3222 18470
1 12282 5324
1 6734 11728
2 2275 1002
1 8873 10949
2 11682 6791
1 5348 15431
2 2432 11029
2 6913 14547
2 6548 18198
2 2172 10267
1 7190 7726
2 7397 305
1 6748 14610
1 10402 18794
1 1993 12088
1 6740 8490
1 4858 16387
1 644 7824
2 2389 2602
2 725 14985
2 1649 18006
1 5555 12849
2 6740 3980
1 5547 709
1 562 2383
1 7902 10164
1 12677 18200
2 3146 12602
1 2064 14809
1 6094 11590
1 11366 4229
1 134 18207
2 6606 11232
2 11328 11841
1 3175 19912
1 11562 3272
2 3097 8009
1 4775 11439
2 13268 6939
2 10526 16846
2 12636 376
1 9167 4332
1 1938 14375
2 8183 15828
1 8342 8076
1 6191 6175
1 5883 18311
2 8104 18900
2 3660 6317
2 3752 2113
2 10354 6820
1 1030 11586
2 245 6770
1 3394 13030
2 7726 12680
1 445 3212
1 439 19475
1 1200 4821
1 6333 12332
1 6241 8867
1 7719 3666
1 4265 18819
1 9149 15707
1 988 18847
2 10149 11071
1 4265 6670
2 8583 8000
1 8586 1032
2 1453 5372
2 5566 3642
1 11585 13438
2 7664 9630
1 10942 2852
1 10283 8904
1 8894 13981
2 5663 3414
1 2873 971
1 10111 10631
1 6020 9345
2 4721 14060
